56 3
1.437622e+03 2.689572e+03 1.632321e+01
1.437985e+03 2.682085e+03 1.632734e+01
1.438349e+03 2.674598e+03 1.633147e+01
1.438712e+03 2.667112e+03 1.633559e+01
1.439076e+03 2.659625e+03 1.633972e+01
1.439439e+03 2.652139e+03 1.634385e+01
1.439803e+03 2.644652e+03 1.634798e+01
1.440166e+03 2.637166e+03 1.635210e+01
1.440530e+03 2.629679e+03 1.635623e+01
1.440893e+03 2.622193e+03 1.636036e+01
1.441257e+03 2.614706e+03 1.636449e+01
1.441620e+03 2.607219e+03 1.636861e+01
1.441984e+03 2.599733e+03 1.637274e+01
1.442347e+03 2.592246e+03 1.637687e+01
1.442711e+03 2.584760e+03 1.638100e+01
1.443074e+03 2.577273e+03 1.638512e+01
1.443438e+03 2.569787e+03 1.638925e+01
1.443802e+03 2.562300e+03 1.639338e+01
1.444165e+03 2.554813e+03 1.639751e+01
1.444529e+03 2.547327e+03 1.640164e+01
1.444892e+03 2.539840e+03 1.640576e+01
1.445256e+03 2.532354e+03 1.640989e+01
1.445619e+03 2.524867e+03 1.641402e+01
1.445983e+03 2.517381e+03 1.641815e+01
1.446346e+03 2.509894e+03 1.642227e+01
1.446710e+03 2.502408e+03 1.642640e+01
1.447073e+03 2.494921e+03 1.643053e+01
1.447437e+03 2.487434e+03 1.643466e+01
1.447800e+03 2.479948e+03 1.643878e+01
1.448164e+03 2.472461e+03 1.644291e+01
1.448527e+03 2.464975e+03 1.644704e+01
1.448891e+03 2.457488e+03 1.645117e+01
1.449254e+03 2.450002e+03 1.645529e+01
1.449618e+03 2.442515e+03 1.645942e+01
1.449981e+03 2.435028e+03 1.646355e+01
1.450345e+03 2.427542e+03 1.646768e+01
1.450708e+03 2.420055e+03 1.647180e+01
1.451072e+03 2.412569e+03 1.647593e+01
1.451436e+03 2.405082e+03 1.648006e+01
1.451799e+03 2.397596e+03 1.648419e+01
1.452163e+03 2.390109e+03 1.648831e+01
1.452526e+03 2.382623e+03 1.649244e+01
1.452890e+03 2.375136e+03 1.649657e+01
1.453253e+03 2.367649e+03 1.650070e+01
1.453617e+03 2.360163e+03 1.650482e+01
1.453980e+03 2.352676e+03 1.650895e+01
1.454344e+03 2.345190e+03 1.651308e+01
1.454707e+03 2.337703e+03 1.651721e+01
1.455071e+03 2.330217e+03 1.652134e+01
1.455434e+03 2.322730e+03 1.652546e+01
1.455798e+03 2.315243e+03 1.652959e+01
1.456161e+03 2.307757e+03 1.653372e+01
1.456525e+03 2.300270e+03 1.653785e+01
1.456888e+03 2.292784e+03 1.654197e+01
1.457252e+03 2.285297e+03 1.654610e+01
1.457615e+03 2.277811e+03 1.655023e+01
